Re Im
0.0 16.0
0.0 -1.0
7.0 17.0
14.0 2.0
21.0 -10.0
-1.0 -7.0
9.0 -3.0
3.0 -9.0
-4.0 -9.0
2.0 4.0
-11.0 -7.0
7.0 1.0
23.0 7.0
-7.0 2.0
-2.0 7.0
-4.0 15.0
5.0 -10.0
-9.0 -3.0
27.0 18.0
17.0 -9.0
2.0 -1.0
-7.0 22.0
-4.0 -6.0
21.0 -9.0
-7.0 22.0
-5.0 -2.0
-14.0 -13.0
-2.0 1.0
-16.0 -1.0
6.0 6.0
18.0 1.0
7.0 22.0
22.0 6.0
10.0 -2.0
7.0 -20.0
13.0 -22.0
-19.0 -1.0
3.0 8.0
0.0 4.0
2.0 -8.0
-17.0 5.0
2.0 1.0
2.0 -15.0
-5.0 -4.0
-14.0 -14.0
-18.0 -10.0
-4.0 11.0
2.0 -10.0
-4.0 -25.0
-11.0 -8.0
3.0 2.0
-3.0 2.0
12.0 -10.0
9.0 -6.0
10.0 -3.0
-12.0 1.0
1.0 -6.0
2.0 7.0
8.0 -5.0
7.0 -9.0
0.0 -6.0
17.0 -25.0
1.0 -8.0
-19.0 -13.0
-13.0 -2.0
-5.0 -6.0
-1.0 -2.0
12.0 -13.0
22.0 5.0
4.0 -1.0
-8.0 -10.0
-3.0 -6.0
4.0 -7.0
2.0 2.0
14.0 -6.0
-8.0 -8.0
1.0 -2.0
7.0 -6.0
2.0 -3.0
17.0 10.0
-7.0 -6.0
15.0 -3.0
-2.0 -27.0
-1.0 4.0
-1.0 -8.0
0.0 -13.0
9.0 -2.0
15.0 2.0
1.0 16.0
13.0 -14.0
-3.0 -5.0
-3.0 -2.0
18.0 -3.0
6.0 -12.0
17.0 -7.0
2.0 -2.0
-4.0 -18.0
2.0 8.0
-3.0 -19.0
